rank,regime,beta12,beta13,beta23,alpha,T,x1,x2,x3,float_err_dT_b12,float_err_dT_b13,float_err_dT_b23,float_err_dT_alpha,float_err_dx_max,hess_min_eig,hess_cond,hp_err_dT_b12,hp_err_dT_b13,hp_err_dT_b23,hp_err_dT_alpha,hp_err_euler,dx1_dalpha_fd,dx2_dalpha_fd,dx3_dalpha_fd
364,near_23,0.1885082218,2.218598024,1.434419392,0.666670043335,4.35284732101e+15,0.3333336476,0.3333352485,0.333331104,7.97e-07,4.43e-08,1.28e-07,2.79e-07,1.33e-07,0.3333,3,4.37e-36,2.77e-37,4.73e-37,1.75e-28,8.01e-42,0.0930583,0.56716,-0.660218
365,near_1,0.4534365572,0.2988410762,0.1176608395,0.999999986597,2.44315015312,0.2194527107,0.3497398336,0.4308074557,1.69e-13,5.92e-13,4.98e-13,7.95e-07,2.49e-12,0.2353,2.389,7.78e-35,8.89e-35,1.07e-34,7.27e-32,5.25e-46,-0.8678,0.125021,0.742779
366,near_23,0.7074716568,1.005985138,2.762577632,0.666668562401,2.45982408413e+16,0.3333347896,0.3333327763,0.3333324341,7.86e-07,5.54e-07,1.1e-08,2.84e-07,1.29e-07,0.3333,3,1.94e-36,2e-36,4.78e-37,1.75e-28,2.78e-41,0.768173,-0.293846,-0.474327
367,near_23,1.029716494,5.119510995,0.3868768323,0.666668913318,1.47786379049e+16,0.3333308995,0.3333373278,0.3333317727,3.83e-08,1.54e-08,7.84e-07,2.81e-07,5.14e-08,0.3333,3,7.04e-37,3.06e-37,1.89e-37,1.75e-28,5.11e-41,-1.08331,1.77795,-0.694645
368,symmetric,0.001261182262,0.001261182262,0.001261182262,0.949289731083,0.762530873892,0.3333333333,0.3333333333,0.3333333333,2.19e-11,6.37e-12,6.37e-12,1.15e-11,7.81e-07,0.3299,3,9.95e-41,1.16e-40,1.16e-40,3.41e-31,1.4e-45,0,0,0
369,near_23,1.388966155,6.909941336,1.85140254,0.666668221142,4.46161022361e+16,0.3333318935,0.3333366476,0.3333314589,3.32e-07,6.97e-08,7.75e-07,2.75e-07,4.93e-08,0.3333,3,2.08e-36,1.05e-37,1.27e-36,1.75e-28,5.28e-42,-0.926227,2.13204,-1.20581
370,near_23,0.5233074172,0.2928359319,1.051154395,0.666669651334,6.30297064628e+15,0.333334107,0.3333327386,0.3333331545,1.75e-07,7.75e-07,1.03e-07,2.83e-07,9.68e-08,0.3333,3,2.85e-36,1.5e-36,2.77e-37,1.75e-28,3.05e-41,0.259205,-0.199275,-0.0599306
371,near_1,0.08740900086,3.534395242,14.2766079,0.999999979539,35.4511779579,0.6345958122,0.3157491971,0.04965499071,2.35e-12,1.72e-12,5.72e-13,7.67e-07,4.36e-12,0.04688,18.11,1.3e-34,9.35e-35,5e-35,1.88e-32,3.5e-46,0.773624,-0.0451547,-0.728469
372,near_23,18.92611297,0.741390653,1.001832816,0.666667581956,2.18560371453e+17,0.3333300751,0.333329931,0.3333399938,2.43e-08,6.88e-07,7.65e-07,2.83e-07,1.03e-07,0.3333,3,1.96e-37,3.29e-36,1.94e-36,1.75e-28,2.84e-40,-3.55963,-3.71709,7.27672
373,anisotropic,4518.154668,0.0001736282351,0.0002756221263,0.726465775544,174434.726642,0.03347839768,0.03347783174,0.9330437706,5.92e-13,7.65e-07,2.37e-07,1.03e-11,1.21e-07,0.03588,11.53,4.79e-36,3.77e-36,7.46e-37,8.04e-29,2.1e-45,-0.266973,-0.266978,0.533951
374,anisotropic,4.677711388,970.2728464,0.0001292212761,0.69118680917,280962.488467,0.08553733429,0.8037801797,0.110682486,1.97e-12,1.02e-12,7.57e-07,6.74e-12,2.78e-07,0.05314,19.61,5.7e-37,1.62e-35,1.41e-37,8.78e-29,1.05e-45,-1.76804,2.99647,-1.22843
375,near_23,0.2381253729,2.695634567,0.690941661,0.666673219713,5.95543402657e+14,0.3333312839,0.3333392263,0.3333294898,7.5e-07,4.47e-08,2.63e-07,2.8e-07,1.98e-07,0.3333,3,3.05e-36,9.69e-38,3.7e-37,1.75e-28,1.15e-41,-0.312735,0.899247,-0.586512
376,near_23,16.92542641,15.27383549,0.7337469513,0.66666926861,9.51487716129e+15,0.3333172194,0.3333400914,0.3333426892,3.83e-08,2.85e-08,7.4e-07,2.76e-07,6.19e-08,0.3333,3,1.99e-40,2.62e-38,3.38e-37,1.75e-28,9.5e-41,-6.19257,2.59716,3.59542
377,near_23,0.2191781564,2.481493529,0.374854784,0.666668320184,3.70687709284e+16,0.3333326832,0.3333347892,0.3333325276,7.36e-07,1.6e-07,1.14e-08,2.73e-07,1.17e-07,0.3333,3,3.98e-36,3.95e-37,6.27e-36,1.75e-28,6.57e-41,-0.39318,0.880483,-0.487303
378,near_1,1.770910289,0.9461596491,3.609442708,0.999999988743,17.6678688144,0.4519891479,0.2314142759,0.3165965762,6.27e-13,1.21e-12,6.08e-13,7.32e-07,3.36e-12,0.205,3.151,9.34e-35,1.05e-34,7.49e-35,9.39e-32,1.75e-46,0.15166,-0.130268,-0.0213916
379,near_1,17.4665314,0.1215747462,0.2532181609,0.999999987908,25.3127904714,0.1000178472,0.06930296315,0.8306791897,3.75e-13,1.35e-12,7.43e-13,7.19e-07,6.23e-12,0.1255,1.463,2.31e-35,1.27e-34,1.23e-34,8.74e-32,8.76e-47,-1.2301,-1.39203,2.62213
380,near_23,0.83456955,0.158405496,1.250970843,0.666678034566,1.14077058226e+14,0.3333367904,0.3333292811,0.3333339285,5.7e-08,7.12e-07,2.64e-08,2.8e-07,7.57e-08,0.3333,3,3.8e-37,2.58e-36,4.54e-37,1.75e-28,7.3e-43,0.304106,-0.356461,0.0523557
381,near_23,2.874602479,0.3314898404,5.838321553,0.666671602486,1.39374667838e+15,0.3333417588,0.3333253261,0.3333329151,5.28e-08,6.99e-07,2.26e-08,2.78e-07,9.47e-08,0.3333,3,2.29e-37,1.91e-36,1.98e-38,1.75e-28,2.19e-41,1.70693,-1.62222,-0.0847047
382,near_23,14.26861762,0.1857943286,2.523758883,0.666671382508,1.59812994738e+15,0.3333243945,0.3333177285,0.333357877,3.59e-09,6.98e-07,1.34e-08,2.81e-07,1.7e-07,0.3333,3,3.49e-39,5.2e-37,1.58e-37,1.75e-28,1.85e-42,-1.89519,-3.3087,5.20389
383,near_1,2.417628471,1.002820281,7.085246641,0.999999984895,27.2285107427,0.5101120254,0.1919108961,0.2979770784,6.42e-13,2.94e-13,2.99e-13,6.96e-07,3.87e-12,0.1874,3.321,9.6e-35,1.1e-34,6.7e-35,7.31e-32,3.5e-46,0.0961472,-0.0769179,-0.0192298
384,near_1,2.820933688,0.2921395472,49.53838978,0.999999982492,85.7182439164,0.7602113177,0.0583792618,0.1814094205,1.78e-12,8.72e-12,4.62e-13,6.81e-07,9.17e-12,0.08206,4.783,1.12e-34,1.29e-34,3.28e-35,6.58e-32,3.5e-46,0.375183,-0.241657,-0.133525
385,near_1,0.365407601,1.122142643,38.51870575,0.999999973647,61.9392069451,0.7885932404,0.1345988282,0.07680793146,1.6e-12,2.17e-12,1.53e-13,6.78e-07,5.13e-12,0.06505,7.708,1.26e-34,1.18e-34,2.89e-35,3.2e-32,5.25e-46,0.747255,-0.326199,-0.421056
386,near_1,33.33403558,0.06876154118,0.8904427275,0.999999976513,48.712319477,0.1352021804,0.03757108799,0.8272267316,3.77e-13,4.82e-12,4.79e-13,6.77e-07,7.51e-12,0.07168,3.271,2.36e-35,1.32e-34,1.18e-34,1.28e-32,1.75e-46,-0.820632,-1.22501,2.04564
387,near_23,1.068785322,0.4407103594,1.456155842,0.666669364306,8.53658017819e+15,0.333334096,0.3333324398,0.3333334642,2.06e-07,6.58e-07,4.43e-07,2.8e-07,1.37e-07,0.3333,3,2.36e-37,1.08e-36,5.25e-37,1.75e-28,5.33e-41,0.282713,-0.331223,0.0485107
388,near_23,0.2882873347,5.652172212,4.852620988,0.66666921185,1.01646758485e+16,0.3333352644,0.3333364947,0.3333282409,6.56e-07,9.87e-09,3.93e-08,2.77e-07,2.1e-07,0.3333,3,1.17e-36,1.83e-37,1.14e-37,1.75e-28,6.87e-41,0.758711,1.24208,-2.00079
389,near_1,1.810497353,3.300616777,3.273131868,0.999999988564,24.7156856312,0.3639112113,0.3654359218,0.2706528669,9.06e-13,8.03e-13,9.25e-13,6.56e-07,2.46e-12,0.1974,3.695,9.97e-35,8.68e-35,8.7e-35,8.87e-32,1.75e-46,0.00843386,0.00885417,-0.0172873
390,near_1,1.078755245,0.06066082344,0.3619110799,0.99999998742,3.55894340796,0.3188896566,0.1305550593,0.5505552841,6.31e-13,2.48e-12,1.83e-12,6.53e-07,3.89e-12,0.1977,2.345,6.14e-35,1.19e-34,9.31e-35,7.68e-32,1.75e-46,-0.109435,-1.53638,1.64581
391,symmetric,0.002933738808,0.002933738808,0.002933738808,0.935467276303,1.31178370345,0.3333333333,0.3333333333,0.3333333333,1.43e-11,7.21e-12,7.21e-12,1.65e-11,6.45e-07,0.3285,3,5.88e-40,4.83e-40,4.39e-40,9.94e-31,0,0,0,0
392,near_23,59.78898625,1.273485226,0.3635251918,0.666668207303,4.58357490649e+16,0.3333146028,0.3333154504,0.3333699467,9.27e-09,9.65e-08,6.39e-07,2.74e-07,7.59e-08,0.3334,2.999,3.77e-38,1.47e-36,5.38e-37,1.75e-28,7.02e-41,-12.1557,-11.6055,23.7612
393,near_23,2.788574656,3.739528869,0.2089408836,0.666669540707,7.05936574617e+15,0.3333297942,0.3333359291,0.3333342767,1.53e-08,3.68e-09,6.38e-07,2.8e-07,8.95e-08,0.3333,3,1.01e-37,2.04e-37,4.68e-36,1.75e-28,6.86e-41,-1.23139,0.903152,0.328235
394,near_1,0.2335453762,0.1812235723,2.150610603,0.999999985401,5.64283467117,0.6173511236,0.1792085572,0.2034403191,1.6e-12,6.21e-13,2.46e-13,6.36e-07,4.16e-12,0.1448,4.295,1.09e-34,1.12e-34,5.23e-35,7.78e-32,0,1.63929,-0.889574,-0.749714
395,anisotropic,2945.047031,0.4751315751,0.0001532543202,0.748013808347,60923.4662123,0.03347192208,0.03709259581,0.9294354821,4.66e-14,2.22e-10,6.29e-07,1.4e-11,1.33e-07,0.03975,10.08,5.31e-36,1.58e-38,9.64e-37,8.11e-29,5.25e-46,-0.218463,-0.195241,0.413704
