id,tags,alpha,a11,a12,a13,a21,a22,a23,a31,a32,a33,beta12,beta13,beta23,kappa,T1,T_alpha_hp40,T_alpha_label,T_alpha_certified_L,T_alpha_certified_U,m_Cain,m_frac,m_Cain_over_T1,m_frac_over_Talpha,band_position_(kappa-T1)/(Talpha-T1),x_star,D_star_geomean1,direct_margin_at_D_star_rad,direct_global_min_margin_float,direct_global_min_margin_alpha1_float,hurwitz_at_I,max_Re_eig_A,D_H_cain_minimiser_geomean1,max_Re_eig_D_H_A,g,L3,l123,l132,Phi,C11_certificate_passes,independent_checks_consistent
W01,1 symmetric cyclic (Siami); 10 non-Hurwitz at I,0.9,-1,0,-5/2,5/2,-1,0,0,5/2,-1,1,1,1,133/8,9.0,21.934967727204405243819593870570396,CERTIFIED (interval) + HP,21.934967727204405243819593870570396,21.934967727204405243819593870570396,7.625,5.3099677272044052438,0.847222222222,0.242077754262,0.589487361763,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.042118712178783176342,0.04211871217878227,-0.11496092050070739,False,0.25,1.0 1.0 1.0,0.25,0 0 0,-125/8,0,-125/8,0.541353383458647,True,True
W02,1 symmetric cyclic (Siami); 10 non-Hurwitz at I,0.8,-1,0,-3,3,-1,0,0,3,-1,1,1,1,28,9.0,96.715494146741627374278386144364621,CERTIFIED (interval) + HP,96.715494146741627374278386144364621,96.715494146741627374278386144364621,19.0,68.715494146741627374,2.11111111111,0.710491061985,0.21660939364,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.12403366201251249635,0.12403366201251176,-0.19012560334646755,False,0.5,1.0 1.0 1.0,0.5,0 0 0,-27,0,-27,0.321428571428571,True,True
W03,1 symmetric cyclic (Siami); 10 non-Hurwitz at I,0.95,-1,0,-21/10,21/10,-1,0,0,21/10,-1,1,1,1,10261/1000,9.0,13.417220438733938905204320193454135,CERTIFIED (interval) + HP,13.417220438733938905204320193454135,13.417220438733938905204320193454135,1.261,3.1562204387339389052,0.140111111111,0.235236534508,0.285473640605,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.051053870139550422816,0.05105387013954954,-0.027485946200195288,False,0.05,1.0 1.0 1.0,0.05,0 0 0,-9261/1000,0,-9261/1000,0.877107494396258,True,True
W04,1 symmetric cyclic (Siami); 6 close to fractional boundary; 10 non-Hurwitz at I,0.9,-1,0,-11/4,11/4,-1,0,0,11/4,-1,1,1,1,1395/64,9.0,21.934967727204405243819593870570396,CERTIFIED (interval) + HP,21.934967727204405243819593870570396,21.934967727204405243819593870570396,12.796875,0.13809272720440524382,1.421875,0.00629555187506,0.989324076402,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.00090276170099238706129,0.0009027617009917943,-0.15617687097849786,False,0.375,1.0 1.0 1.0,0.375,0 0 0,-1331/64,0,-1331/64,0.412903225806452,False,True
W05,1 symmetric cyclic (Siami); 5 close to Cain boundary; 10 non-Hurwitz at I,0.9,-1,0,-201/100,201/100,-1,0,0,201/100,-1,1,1,1,9120601/1000000,9.0,21.934967727204405243819593870570396,HP (40 digits),,,0.120601,12.814366727204405244,0.0134001111111,0.584198111735,0.00932364135292,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.15420725118016245591,0.15420725118016176,-0.0028723814993278918,False,0.005,1.0 1.0 1.0,0.005,0 0 0,-8120601/1000000,0,-8120601/1000000,0.986777077519343,True,True
W06,1 symmetric cyclic (Siami); 7 close to alpha=2/3; 10 non-Hurwitz at I,0.67,-1,0,-150,150,-1,0,0,150,-1,1,1,1,3375001,9.0,4565800.4512395249849589413043874247,CERTIFIED (interval) + HP,4565800.4512395249849589413043874247,4565800.4512395249849589413043874247,3374992.0,1190799.451239524985,374999.111111,0.260808474649,0.73919101125,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.000556759514938510471,0.0005567595149376103,-0.5178060283273782,False,74.0,1.0 1.0 1.0,74.0,0 0 0,-3375000,0,-3375000,2.66666587654344e-6,False,True
W07,1 symmetric cyclic (Siami); 7 close to alpha=2/3; 10 non-Hurwitz at I,0.68,-1,0,-40,40,-1,0,0,40,-1,1,1,1,64001,9.0,73264.519666338053218767509145716914,HP (40 digits),,,63992.0,9263.5196663380532188,7110.22222222,0.126439369405,0.873545096553,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.00097723074588399040271,0.000977230745882851,-0.5016775938284839,False,19.0,1.0 1.0 1.0,19.0,0 0 0,-64000,0,-64000,0.000140622802768707,False,True
W08,1 symmetric cyclic (Siami); 8 close to alpha=1; 6 close to fractional boundary,0.999,-1,0,-401/200,401/200,-1,0,0,401/200,-1,1,1,1,72481201/8000000,9.0,9.0656537548974692422806340856183321,CERTIFIED (interval) + HP,9.0656537548974692422806340856183321,9.0656537548974692422806340856183321,0.060150125,0.0055036298974692422806,0.00668334722222,0.000607085825939,0.916171894417,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.00013102108926464651394,0.00013102108926377198,-0.0014397752375310269,False,0.0025,1.0 1.0 1.0,0.0025,0 0 0,-64481201/8000000,0,-64481201/8000000,0.993361023363837,False,True
W09,1 symmetric cyclic (Siami); 8 close to alpha=1,0.99,-1,0,-203/100,203/100,-1,0,0,203/100,-1,1,1,1,9365427/1000000,9.0,9.6902378055158785835363633661820446,HP (40 digits),,,0.365427,0.32481080551587858354,0.040603,0.0335193843572,0.529421884863,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.0071759003195842454307,0.007175900319583484,-0.008532062948365393,False,0.015,1.0 1.0 1.0,0.015,0 0 0,-8365427/1000000,0,-8365427/1000000,0.960981277201776,True,True
W10,2 generic nonsymmetric strict-P; 10 non-Hurwitz at I,0.8,-1,-3,0,0,-1,-2,-2,0,-1,1,1,1,13,9.0,96.715494146741627374278386144364621,CERTIFIED (interval) + HP,96.715494146741627374278386144364621,96.715494146741627374278386144364621,4.0,83.715494146741627374,0.444444444444,0.865585135922,0.0456019776085,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.24130011020478262667,0.24130011020478204,-0.07285915515419727,False,0.144714242553332,1.0 1.0 1.0,0.144714242553332,0 0 0,-12,-12,0,0.692307692307692,True,True
