id,alpha,boundary,norm,g0,local_first_order,directional_scan,slsqp,de,best_upper_bound_hp,hp_residual,exact_or_lower_bound,label,m_frac,m_Cain
W01,0.9,frac,frob,5.309967727204413,0.14790966642583356,0.14803256955824795,0.1297802102504157,0.14868630988108666,0.129780210250419447247078112171,3.2518e-41,,HP upper bound (40 digits) - no rigorous lower bound,5.3099677272044052438,7.625
W01,0.9,frac,max,5.309967727204413,0.052097324322232866,0.07244634961584473,0.04645618610653639,0.09800572738195387,0.0464561861065363332114661430656,-4.0028e-40,,HP upper bound (40 digits) - no rigorous lower bound,5.3099677272044052438,7.625
W01,0.9,cain,frob,7.6250000000000036,0.25076140915533374,0.4075811770721401,0.3535533905932738,0.3699033216415081,0.35355339059327400555734132563,9.1835e-40,,HP upper bound (40 digits) - no rigorous lower bound,5.3099677272044052438,7.625
W01,0.9,cain,max,7.6250000000000036,0.0945736434131308,0.19873709209848975,0.12500000000000033,0.19756991991356906,0.125000000000000301841884819965,-1.8367e-40,,HP upper bound (40 digits) - no rigorous lower bound,5.3099677272044052438,7.625
W01,0.9,P,frob,1.0,0.42884501393099506,0.37977240598936635,0.3507810593582125,0.35930565752237154,0.350781059358212564996209479316,0.0,0.35078105935821217162,HP; see exact Eckart-Young values,5.3099677272044052438,7.625
W01,0.9,P,max,1.0,0.1904761904737342,0.2397958488599971,0.22222222222222238,0.22306203781042974,0.222222222222222381929479992746,3.8456e-39,0.11692701978607072387,HP; see exact Eckart-Young values,5.3099677272044052438,7.625
W10,0.8,frac,frob,83.71549414674162,1.1763445193285431,0.8746284485390259,,,0.874628448539347511362938111287,-2.1436e-37,,HP upper bound (40 digits) - no rigorous lower bound,83.715494146741627374,4.0
W10,0.8,frac,max,83.71549414674162,0.5029434463249113,0.6605921444095147,,,0.660592144409413450940528845349,5.0222e-40,,HP upper bound (40 digits) - no rigorous lower bound,83.715494146741627374,4.0
W10,0.8,cain,frob,4.0,0.16495721976093866,0.23211889533821353,0.20220836765349975,0.24640876881528892,0.202208367653524561066221638607,5.5101e-40,,HP upper bound (40 digits) - no rigorous lower bound,83.715494146741627374,4.0
W10,0.8,cain,max,4.0,0.06060606060316241,0.12111017727139693,0.07170497401855551,0.13824891684876844,0.0717049740185613399102876678998,0.0,,HP upper bound (40 digits) - no rigorous lower bound,83.715494146741627374,4.0
W10,0.8,P,frob,1.0,0.4472135955044757,0.31560284678516315,0.30277563773199506,0.3097807774600106,0.302775637731995108430498916403,0.0,0.30277563773199464656,HP; see exact Eckart-Young values,83.715494146741627374,4.0
W10,0.8,P,max,1.0,0.2000000000009102,0.21895844581471463,0.20000000000000018,0.3081966202056791,0.200000000000000180944257607361,9.4131e-40,0.10092521257733154885,HP; see exact Eckart-Young values,83.715494146741627374,4.0
W14,0.7,frac,frob,6137.544147602294,3.0762551181105806,,,,,,,NOT REACHED: the strict-P boundary is crossed first along every tried direction (the target boundary is not the nearest boundary of the class),6137.5441476022891267,9.875
W14,0.7,frac,max,6137.544147602294,1.1711997405612715,,,,,,,NOT REACHED: the strict-P boundary is crossed first along every tried direction (the target boundary is not the nearest boundary of the class),6137.5441476022891267,9.875
W14,0.7,cain,frob,9.874999999999993,0.24561299943556084,0.4041672652481642,0.35355339059327306,0.36975202840587484,0.353553390593274173053018534529,1.102e-39,,HP upper bound (40 digits) - no rigorous lower bound,6137.5441476022891267,9.875
W14,0.7,cain,max,9.874999999999993,0.09371293001413311,0.18722310951862695,0.12499999999998077,0.18654411722983055,0.125000000000002461572612411094,0.0,,HP upper bound (40 digits) - no rigorous lower bound,6137.5441476022891267,9.875
W14,0.7,P,frob,1.0,1.1547005383460474,0.8068703918390422,0.7655644370746391,1.0000000000108968,0.7655644370746380035288886742,1.1479e-41,0.76556443707463741309,HP; see exact Eckart-Young values,6137.5441476022891267,9.875
W14,0.7,P,max,1.0,0.6666666666474962,0.5809854486179283,0.5555555555555575,0.9162827417885693,0.555555555555557450423913418462,7.4789e-39,0.25518814569154580436,HP; see exact Eckart-Young values,6137.5441476022891267,9.875
W18,0.7,frac,frob,4981.48914300657,4.403140821421585,,,,,,,NOT REACHED: the strict-P boundary is crossed first along every tried direction (the target boundary is not the nearest boundary of the class),4981.4891430065662495,1.7573593128807148536
W18,0.7,frac,max,4981.48914300657,1.9484347764336176,,,,,,,NOT REACHED: the strict-P boundary is crossed first along every tried direction (the target boundary is not the nearest boundary of the class),4981.4891430065662495,1.7573593128807148536
W18,0.7,cain,frob,1.7573593128807161,0.07571857441494867,0.10346644037342159,0.08475290375420577,0.09519266859771537,0.0847529037542059778512755469457,5.5101e-40,,HP upper bound (40 digits) - no rigorous lower bound,4981.4891430065662495,1.7573593128807148536
W18,0.7,cain,max,1.7573593128807161,0.0281800582533642,0.05606958709568688,0.030989785671746248,0.06770069239355739,0.0309897856717476613706246924537,-5.5101e-40,,HP upper bound (40 digits) - no rigorous lower bound,4981.4891430065662495,1.7573593128807148536
