alpha,b,g=1-b,W_alpha,W_over_T1
0.7,0.0473151258961,0.952684874104,4151.62163109,9749.3409054
0.7,0.0501187233627,0.949881276637,4153.90742793,9209.03883425
0.7,0.0530884444231,0.946911555577,4156.32860874,8698.96066609
0.7,0.056234132519,0.943765867481,4158.89318872,8217.41569562
0.7,0.0595662143529,0.940433785647,4161.60965724,7762.80779382
0.7,0.063095734448,0.936904265552,4164.48700583,7333.63011737
0.7,0.0668343917569,0.933165608243,4167.53475785,6928.46011411
0.7,0.0707945784384,0.929205421562,4170.76299988,6545.95480784
0.7,0.0749894209332,0.925010579067,4174.18241502,6184.84634688
0.7,0.0794328234724,0.920567176528,4177.80431809,5843.93780172
0.7,0.0841395141645,0.915860485835,4181.6406929,5522.09919762
0.7,0.0891250938134,0.910874906187,4185.7042318,5218.26376926
0.7,0.0944060876286,0.905593912371,4190.00837744,4931.42442481
0.7,0.1,0.9,4194.56736711,4660.6304079
0.7,0.105925372518,0.894074627482,4199.39627959,4404.9841462
0.7,0.11220184543,0.88779815457,4204.51108484,4163.63827639
0.7,0.118850222744,0.881149777256,4209.92869655,3935.7928355
0.7,0.125892541179,0.874107458821,4215.66702787,3720.69260937
0.7,0.133352143216,0.866647856784,4221.74505033,3517.62462947
0.7,0.141253754462,0.858746245538,4228.18285632,3325.91580971
0.7,0.149623565609,0.850376434391,4235.0017252,3144.93071548
0.7,0.158489319246,0.841510680754,4242.22419333,2974.06945746
0.7,0.167880401812,0.832119598188,4249.87412828,2812.76570331
0.7,0.177827941004,0.822172058996,4257.97680732,2660.48480051
0.7,0.188364908949,0.811635091051,4266.5590007,2516.7220043
0.7,0.199526231497,0.800473768503,4275.64905974,2381.00080468
0.7,0.211348903984,0.788651096016,4285.27701017,2252.87134707
0.7,0.223872113857,0.776127886143,4295.4746511,2131.90894128
0.7,0.237137370566,0.762862629434,4306.27565977,2017.71265392
0.7,0.251188643151,0.748811356849,4317.71570256,1909.90397956
0.7,0.26607250598,0.73392749402,4329.83255271,1808.12558624
0.7,0.281838293126,0.718161706874,4342.66621499,1712.04013117
0.7,0.298538261892,0.701461738108,4356.25905787,1621.32914267
0.7,0.316227766017,0.683772233983,4370.65595374,1535.69196475
0.7,0.334965439158,0.665034560842,4385.90442741,1454.84476065
0.7,0.354813389234,0.645186610766,4402.0548138,1378.51957219
0.7,0.375837404288,0.624162595712,4419.16042511,1306.46343182
0.7,0.398107170553,0.601892829447,4437.27772822,1238.43752426
0.7,0.421696503429,0.578303496571,4456.46653298,1174.21639516
0.7,0.446683592151,0.553316407849,4476.79019216,1113.58720401
0.7,0.473151258961,0.526848741039,4498.31581372,1056.34901889
0.7,0.501187233627,0.498812766373,4521.11448637,1002.3121507
0.7,0.530884444231,0.469115555769,4545.26151936,951.297524715
0.7,0.56234132519,0.43765867481,4570.83669729,903.136087272
0.7,0.595662143529,0.404337856471,4597.92455128,857.668245747
0.7,0.63095734448,0.36904265552,4626.61464749,814.743339883
0.7,0.668343917569,0.331656082431,4657.00189431,774.219142752
0.7,0.707945784384,0.292054215616,4689.18686962,735.961389677
0.7,0.749894209332,0.250105790668,4723.27616961,699.843333578
0.7,0.794328234724,0.205671765276,4759.38278077,665.745325241
0.7,0.841395141645,0.158604858355,4797.62647683,633.554417125
0.7,0.891250938134,0.108749061866,4838.13424267,603.163989407
0.7,0.944060876286,0.0559391237141,4881.04072714,574.473396996
0.7,1,0,4926.48872732,547.387636369
0.7,1.05925372518,-0.0592537251773,4974.62970655,521.817031107
0.7,1.1220184543,-0.122018454302,5025.624349,497.676935083
0.7,1.18850222744,-0.188502227437,5079.64315388,474.887452329
0.7,1.25892541179,-0.258925411794,5136.86707243,453.373172628
0.7,1.33352143216,-0.333521432163,5197.48819124,433.062921965
0.7,1.41253754462,-0.412537544623,5261.71046587,413.889526996
0.7,1.49623565609,-0.496235656094,5329.75050882,395.789592748
0.7,1.58489319246,-0.584893192461,5401.83843662,378.703292809
0.7,1.67880401812,-0.678804018123,5478.21878085,362.574171302
0.7,1.77827941004,-0.778279410039,5559.15146856,347.348955974
0.7,1.88364908949,-0.88364908949,5644.91287808,332.977381779
0.7,1.99526231497,-0.995262314969,5735.79697647,319.412024365
0.7,2.11348903984,-1.11348903984,5832.11654551,306.60814288
0.7,2.23872113857,-1.23872113857,5934.20450402,294.523531602
0.7,2.37137370566,-1.37137370566,6042.41533428,283.118379859
0.7,2.51188643151,-1.51188643151,6157.12662169,272.355139789
0.7,2.6607250598,-1.6607250598,6278.74071704,262.198401477
0.7,2.81838293126,-1.81838293126,6407.68653184,252.614775057
0.7,2.98538261892,-1.98538261892,6544.42147789,243.572779375
0.7,3.16227766017,-2.16227766017,6689.43356312,235.042736843
0.7,3.34965439158,-2.34965439158,6843.24365695,226.996674116
