g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
-6,-6,-2,0.99,49.3303027798,52.6877925885,3.35748980863,0.0680614068722,-34.3303027798,-37.6877925885
-6,-5.95,-2,0.99,49.1974218294,52.5449516657,3.34752983632,0.068042789883,-34.2474218294,-37.5949516657
-6,-5.9,-2,0.99,49.0642422059,52.4017928839,3.33755067798,0.0680240951031,-34.1642422059,-37.5017928839
-6,-5.85,-2,0.99,48.930760657,52.2583128006,3.32755214355,0.0680053221915,-34.080760657,-37.4083128006
-6,-5.8,-2,0.99,48.7969738709,52.1145079108,3.31753403987,0.0679864708137,-33.9969738709,-37.3145079108
-6,-5.75,-2,0.99,48.6628784748,51.9703746453,3.30749617054,0.067967540643,-33.9128784748,-37.2203746453
-6,-5.7,-2,0.99,48.5284710331,51.825909369,3.29743833587,0.0679485313606,-33.8284710331,-37.125909369
-6,-5.65,-2,0.99,48.3937480463,51.6811083791,3.28736033283,0.0679294426562,-33.7437480463,-37.0311083791
-6,-5.6,-2,0.99,48.2587059488,51.5359679037,3.27726195492,0.0679102742291,-33.6587059488,-36.9359679037
-6,-5.55,-2,0.99,48.1233411074,51.3904840996,3.26714299214,0.0678910257883,-33.5733411074,-36.8404840996
-6,-5.5,-2,0.99,47.9876498195,51.2446530503,3.25700323087,0.0678716970537,-33.4876498195,-36.7446530503
-6,-5.45,-2,0.99,47.8516283109,51.0984707647,3.24684245378,0.0678522877567,-33.4016283109,-36.6484707647
-6,-5.4,-2,0.99,47.7152727345,50.9519331743,3.23666043979,0.0678327976411,-33.3152727345,-36.5519331743
-6,-5.35,-2,0.99,47.5785791677,50.8050361316,3.22645696392,0.0678132264638,-33.2285791677,-36.4550361316
-6,-5.3,-2,0.99,47.4415436103,50.6577754076,3.21623179723,0.0677935739959,-33.1415436103,-36.3577754076
-6,-5.25,-2,0.99,47.3041619831,50.5101466898,3.2059847067,0.0677738400237,-33.0541619831,-36.2601466898
-6,-5.2,-2,0.99,47.1664301247,50.3621455798,3.19571545515,0.0677540243496,-32.9664301247,-36.1621455798
-6,-5.15,-2,0.99,47.0283437897,50.2137675909,3.18542380113,0.0677341267932,-32.8783437897,-36.0637675909
-6,-5.1,-2,0.99,46.8898986466,50.0650081454,3.1751094988,0.0677141471927,-32.7898986466,-35.9650081454
-6,-5.05,-2,0.99,46.7510902744,49.9158625722,3.16477229785,0.0676940854057,-32.7010902744,-35.8658625722
-6,-5,-2,0.99,46.611914161,49.7663261043,3.15441194333,0.0676739413112,-32.611914161,-35.7663261043
-6,-4.95,-2,0.99,46.4723656998,49.6163938754,3.1440281756,0.06765371481,-32.5223656998,-35.6663938754
-6,-4.9,-2,0.99,46.3324401875,49.4660609177,3.13362073016,0.0676334058271,-32.4324401875,-35.5660609177
-6,-4.85,-2,0.99,46.1921328208,49.3153221583,3.12318933755,0.0676130143127,-32.3421328208,-35.4653221583
-6,-4.8,-2,0.99,46.0514386934,49.1641724166,3.11273372318,0.0675925402441,-32.2514386934,-35.3641724166
-6,-4.75,-2,0.99,45.9103527933,49.0126064005,3.10225360727,0.0675719836273,-32.1603527933,-35.2626064005
-6,-4.7,-2,0.99,45.768869999,48.8606187037,3.09174870463,0.0675513444989,-32.068869999,-35.1606187037
-6,-4.65,-2,0.99,45.6269850768,48.7082038014,3.08121872458,0.0675306229282,-31.9769850768,-35.0582038014
-6,-4.6,-2,0.99,45.4846926767,48.5553560474,3.07066337074,0.0675098190191,-31.8846926767,-34.9553560474
-6,-4.55,-2,0.99,45.341987329,48.4020696699,3.06008234096,0.0674889329123,-31.791987329,-34.8520696699
-6,-4.5,-2,0.99,45.1988634405,48.2483387676,3.04947532706,0.067467964788,-31.6988634405,-34.7483387676
-6,-4.45,-2,0.99,45.0553152909,48.0941573057,3.03884201477,0.0674469148677,-31.6053152909,-34.6441573057
-6,-4.4,-2,0.99,44.9113370281,47.9395191115,3.02818208346,0.0674257834179,-31.5113370281,-34.5395191115
-6,-4.35,-2,0.99,44.7669226642,47.7844178702,3.01749520606,0.0674045707518,-31.4169226642,-34.4344178702
-6,-4.3,-2,0.99,44.6220660711,47.6288471199,3.00678104879,0.0673832772333,-31.3220660711,-34.3288471199
-6,-4.25,-2,0.99,44.4767609761,47.4728002471,2.99603927105,0.0673619032793,-31.2267609761,-34.2228002471
-6,-4.2,-2,0.99,44.3310009564,47.3162704815,2.98526952516,0.0673404493639,-31.1310009564,-34.1162704815
-6,-4.15,-2,0.99,44.1847794345,47.1592508907,2.97447145619,0.0673189160217,-31.0347794345,-34.0092508907
-6,-4.1,-2,0.99,44.0380896732,47.001734375,2.96364470176,0.0672973038512,-30.9380896732,-33.901734375
-6,-4.05,-2,0.99,43.8909247693,46.8437136611,2.95278889181,0.0672756135199,-30.8409247693,-33.7937136611
-6,-4,-2,0.99,43.7432776485,46.6851812969,2.94190364836,0.0672538457679,-30.7432776485,-33.6851812969
-6,-3.95,-2,0.99,43.5951410593,46.5261296446,2.93098858529,0.0672320014127,-30.6451410593,-33.5761296446
-6,-3.9,-2,0.99,43.4465075665,46.3665508746,2.92004330811,0.0672100813545,-30.5465075665,-33.4665508746
-6,-3.85,-2,0.99,43.2973695446,46.2064369583,2.9090674137,0.0671880865813,-30.4473695446,-33.3564369583
-6,-3.8,-2,0.99,43.1477191713,46.0457796613,2.89806049005,0.0671660181745,-30.3477191713,-33.2457796613
-6,-3.75,-2,0.99,42.9975484199,45.8845705358,2.88702211596,0.0671438773154,-30.2475484199,-33.1345705358
-6,-3.7,-2,0.99,42.8468490519,45.7228009127,2.87595186083,0.067121665291,-30.1468490519,-33.0228009127
