alpha,T1,T_alpha,W_alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,realizability,sqrt4G
0.666667666667,180,1.67601670664e+17,1.67601670664e+17,58,-122,-1.67601670664e+17,all L3,0
0.666667699052,180,1.52319126811e+17,1.52319126811e+17,58,-122,-1.52319126811e+17,all L3,0
0.666667732486,180,1.38430117535e+17,1.38430117535e+17,58,-122,-1.38430117535e+17,all L3,0
0.666667767003,180,1.25807572812e+17,1.25807572812e+17,58,-122,-1.25807572812e+17,all L3,0
0.666667802638,180,1.14336009707e+17,1.14336009707e+17,58,-122,-1.14336009707e+17,all L3,0
0.666667839426,180,1.03910475444e+17,1.03910475444e+17,58,-122,-1.03910475444e+17,all L3,0
0.666667877406,180,9.44355877867e+16,9.44355877867e+16,58,-122,-9.44355877867e+16,all L3,0
0.666667916617,180,8.58246616747e+16,8.58246616747e+16,58,-122,-8.58246616747e+16,all L3,0
0.666667957096,180,7.79989166863e+16,7.79989166863e+16,58,-122,-7.79989166863e+16,all L3,0
0.666667998887,180,7.08867559988e+16,7.08867559988e+16,58,-122,-7.08867559988e+16,all L3,0
0.666668042032,180,6.44231113958e+16,6.44231113958e+16,58,-122,-6.44231113958e+16,all L3,0
0.666668086573,180,5.8548847897e+16,5.8548847897e+16,58,-122,-5.8548847897e+16,all L3,0
0.666668132557,180,5.32102228837e+16,5.32102228837e+16,58,-122,-5.32102228837e+16,all L3,0
0.666668180031,180,4.83583941869e+16,4.83583941869e+16,58,-122,-4.83583941869e+16,all L3,0
0.666668229041,180,4.39489733968e+16,4.39489733968e+16,58,-122,-4.39489733968e+16,all L3,0
0.666668279639,180,3.99416196588e+16,3.99416196588e+16,58,-122,-3.99416196588e+16,all L3,0
0.666668331876,180,3.62996706077e+16,3.62996706077e+16,58,-122,-3.62996706077e+16,all L3,0
0.666668385804,180,3.29898069847e+16,3.29898069847e+16,58,-122,-3.29898069847e+16,all L3,0
0.666668441479,180,2.9981747715e+16,2.9981747715e+16,58,-122,-2.9981747715e+16,all L3,0
0.666668498956,180,2.72479729413e+16,2.72479729413e+16,58,-122,-2.72479729413e+16,all L3,0
0.666668558296,180,2.47634721929e+16,2.47634721929e+16,58,-122,-2.47634721929e+16,all L3,0
0.666668619557,180,2.2505515601e+16,2.2505515601e+16,58,-122,-2.2505515601e+16,all L3,0
0.666668682801,180,2.04534459091e+16,2.04534459091e+16,58,-122,-2.04534459091e+16,all L3,0
0.666668748094,180,1.8588489496e+16,1.8588489496e+16,58,-122,-1.8588489496e+16,all L3,0
0.666668815502,180,1.68935846255e+16,1.68935846255e+16,58,-122,-1.68935846255e+16,all L3,0
0.666668885093,180,1.53532253154e+16,1.53532253154e+16,58,-122,-1.53532253154e+16,all L3,0
0.666668956937,180,1.39533195107e+16,1.39533195107e+16,58,-122,-1.39533195107e+16,all L3,0
0.666669031108,180,1.26810601318e+16,1.26810601318e+16,58,-122,-1.26810601318e+16,all L3,0
0.666669107681,180,1.15248079055e+16,1.15248079055e+16,58,-122,-1.15248079055e+16,all L3,0
0.666669186734,180,1.04739848876e+16,1.04739848876e+16,58,-122,-1.04739848876e+16,all L3,0
0.666669268347,180,9.51897768054e+15,9.51897768054e+15,58,-122,-9.51897768054e+15,all L3,0
0.666669352603,180,8.6510494762e+15,8.6510494762e+15,58,-122,-8.6510494762e+15,all L3,0
0.666669439588,180,7.86226012965e+15,7.86226012965e+15,58,-122,-7.86226012965e+15,all L3,0
0.66666952939,180,7.14539351344e+15,7.14539351344e+15,58,-122,-7.14539351344e+15,all L3,0
0.6666696221,180,6.49389149764e+15,6.49389149764e+15,58,-122,-6.49389149764e+15,all L3,0
0.666669717812,180,5.90179395057e+15,5.90179395057e+15,58,-122,-5.90179395057e+15,all L3,0
0.666669816624,180,5.36368420933e+15,5.36368420933e+15,58,-122,-5.36368420933e+15,all L3,0
0.666669918637,180,4.87463952495e+15,4.87463952495e+15,58,-122,-4.87463952495e+15,all L3,0
0.666670023953,180,4.43018602387e+15,4.43018602387e+15,58,-122,-4.43018602387e+15,all L3,0
0.666670132679,180,4.02625777923e+15,4.02625777923e+15,58,-122,-4.02625777923e+15,all L3,0
0.666670244927,180,3.6591596079e+15,3.6591596079e+15,58,-122,-3.6591596079e+15,all L3,0
0.66667036081,180,3.32553326912e+15,3.32553326912e+15,58,-122,-3.32553326912e+15,all L3,0
0.666670480446,180,3.02232673934e+15,3.02232673934e+15,58,-122,-3.02232673934e+15,all L3,0
0.666670603956,180,2.7467662877e+15,2.7467662877e+15,58,-122,-2.7467662877e+15,all L3,0
0.666670731466,180,2.49633110125e+15,2.49633110125e+15,58,-122,-2.49633110125e+15,all L3,0
0.666670863106,180,2.26873022421e+15,2.26873022421e+15,58,-122,-2.26873022421e+15,all L3,0
0.666670999008,180,2.06188159635e+15,2.06188159635e+15,58,-122,-2.06188159635e+15,all L3,0
0.666671139313,180,1.87389300653e+15,1.87389300653e+15,58,-122,-1.87389300653e+15,all L3,0
