g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
-6,-6,0.5,0.99,35.9833147735,38.3695664909,2.38625171731,0.0663155057372,-23.4833147735,-25.8695664909
-6,-5.95,0.5,0.99,35.8698381572,38.2488220723,2.37898391508,0.0663226832708,-23.4198381572,-25.7988220723
-6,-5.9,0.5,0.99,35.7561327941,38.1278367256,2.37170393151,0.0663299900235,-23.3561327941,-25.7278367256
-6,-5.85,0.5,0.99,35.6421961932,38.0066078444,2.36441165113,0.0663374287687,-23.2921961932,-25.6566078444
-6,-5.8,0.5,0.99,35.5280258182,37.8851327749,2.35710695665,0.0663450023569,-23.2280258182,-25.5851327749
-6,-5.75,0.5,0.99,35.4136190858,37.7634088147,2.34978972892,0.0663527137179,-23.1636190858,-25.5134088147
-6,-5.7,0.5,0.99,35.2989733649,37.6414332118,2.34245984691,0.066360565864,-23.0989733649,-25.4414332118
-6,-5.65,0.5,0.99,35.1840859753,37.5192031629,2.33511718767,0.0663685618923,-23.0340859753,-25.3692031629
-6,-5.6,0.5,0.99,35.0689541861,37.3967158123,2.32776162626,0.0663767049884,-22.9689541861,-25.2967158123
-6,-5.55,0.5,0.99,34.9535752147,37.2739682505,2.32039303572,0.0663849984291,-22.9035752147,-25.2239682505
-6,-5.5,0.5,0.99,34.8379462255,37.1509575125,2.31301128704,0.0663934455858,-22.8379462255,-25.1509575125
-6,-5.45,0.5,0.99,34.7220643279,37.0276805769,2.30561624909,0.0664020499278,-22.7720643279,-25.0776805769
-6,-5.4,0.5,0.99,34.6059265753,36.9041343639,2.2982077886,0.0664108150261,-22.7059265753,-25.0041343639
-6,-5.35,0.5,0.99,34.4895299636,36.7803157337,2.29078577008,0.0664197445571,-22.6395299636,-24.9303157337
-6,-5.3,0.5,0.99,34.3728714293,36.6562214851,2.28335005579,0.066428842306,-22.5728714293,-24.8562214851
-6,-5.25,0.5,0.99,34.255947848,36.5318483537,2.27590050568,0.0664381121718,-22.505947848,-24.7818483537
-6,-5.2,0.5,0.99,34.1387560327,36.4071930101,2.26843697735,0.0664475581705,-22.4387560327,-24.7071930101
-6,-5.15,0.5,0.99,34.021292732,36.282252058,2.26095932599,0.0664571844404,-22.371292732,-24.632252058
-6,-5.1,0.5,0.99,33.9035546283,36.1570220326,2.2534674043,0.0664669952461,-22.3035546283,-24.5570220326
-6,-5.05,0.5,0.99,33.7855383358,36.0314993983,2.24596106248,0.066476994984,-22.2355383358,-24.4814993983
-6,-5,0.5,0.99,33.6672403987,35.9056805468,2.23844014812,0.0664871881868,-22.1672403987,-24.4056805468
-6,-4.95,0.5,0.99,33.5486572891,35.7795617953,2.23090450617,0.066497579529,-22.0986572891,-24.3295617953
-6,-4.9,0.5,0.99,33.4297854047,35.6531393836,2.22335397889,0.0665081738327,-22.0297854047,-24.2531393836
-6,-4.85,0.5,0.99,33.3106210667,35.5264094724,2.21578840572,0.0665189760733,-21.9606210667,-24.1764094724
-6,-4.8,0.5,0.99,33.1911605176,35.3993681409,2.20820762331,0.0665299913854,-21.8911605176,-24.0993681409
-6,-4.75,0.5,0.99,33.0713999188,35.2720113841,2.20061146536,0.0665412250696,-21.8213999188,-24.0220113841
-6,-4.7,0.5,0.99,32.9513353479,35.1443351105,2.19299976262,0.0665526825991,-21.7513353479,-23.9443351105
-6,-4.65,0.5,0.99,32.8309627964,35.0163351392,2.18537234277,0.0665643696265,-21.6809627964,-23.8663351392
-6,-4.6,0.5,0.99,32.7102781669,34.8880071973,2.17772903037,0.0665762919917,-21.6102781669,-23.7880071973
-6,-4.55,0.5,0.99,32.5892772704,34.7593469171,2.17006964676,0.0665884557292,-21.5392772704,-23.7093469171
-6,-4.5,0.5,0.99,32.4679558231,34.6303498331,2.16239401003,0.0666008670767,-21.4679558231,-23.6303498331
-6,-4.45,0.5,0.99,32.346309444,34.5010113788,2.15470193486,0.0666135324834,-21.396309444,-23.5510113788
-6,-4.4,0.5,0.99,32.224333651,34.3713268835,2.14699323253,0.0666264586194,-21.324333651,-23.4713268835
-6,-4.35,0.5,0.99,32.1020238582,34.2412915689,2.13926771075,0.0666396523845,-21.2520238582,-23.3912915689
-6,-4.3,0.5,0.99,31.9793753723,34.1109005459,2.13152517361,0.0666531209193,-21.1793753723,-23.3109005459
-6,-4.25,0.5,0.99,31.856383389,33.9801488105,2.1237654215,0.0666668716147,-21.106383389,-23.2301488105
-6,-4.2,0.5,0.99,31.7330429893,33.8490312403,2.11598825098,0.0666809121235,-21.0330429893,-23.1490312403
-6,-4.15,0.5,0.99,31.6093491358,33.7175425905,2.10819345472,0.0666952503724,-20.9593491358,-23.0675425905
-6,-4.1,0.5,0.99,31.4852966683,33.5856774897,2.10038082136,0.0667098945735,-20.8852966683,-22.9856774897
-6,-4.05,0.5,0.99,31.3608803001,33.4534304356,2.09255013545,0.0667248532383,-20.8108803001,-22.9034304356
-6,-4,0.5,0.99,31.2360946131,33.3207957904,2.08470117731,0.0667401351905,-20.7360946131,-22.8207957904
-6,-3.95,0.5,0.99,31.1109340535,33.1877677764,2.07683372292,0.0667557495815,-20.6609340535,-22.7377677764
-6,-3.9,0.5,0.99,30.9853929268,33.0543404706,2.06894754385,0.0667717059047,-20.5853929268,-22.6543404706
-6,-3.85,0.5,0.99,30.8594653928,32.9205077999,2.06104240708,0.0667880140127,-20.5094653928,-22.5705077999
-6,-3.8,0.5,0.99,30.7331454607,32.7862635356,2.05311807493,0.0668046841336,-20.4331454607,-22.4862635356
-6,-3.75,0.5,0.99,30.6064269829,32.6516012879,2.04517430492,0.0668217268897,-20.3564269829,-22.4016012879
-6,-3.7,0.5,0.99,30.4793036499,32.5165144995,2.03721084964,0.0668391533167,-20.2793036499,-22.3165144995
-6,-3.65,0.5,0.99,30.3517689836,32.3809964403,2.02922745661,0.0668569748835,-20.2017689836,-22.2309964403
-6,-3.6,0.5,0.99,30.2238163317,32.2450401998,2.02122386816,0.0668752035144,-20.1238163317,-22.1450401998
-6,-3.55,0.5,0.99,30.0954388602,32.1086386815,2.01319982131,0.066893851612,-20.0454388602,-22.0586386815
-6,-3.5,0.5,0.99,29.9666295471,31.9717845947,2.00515504757,0.0669129320807,-19.9666295471,-21.9717845947
-6,-3.45,0.5,0.99,29.8373811747,31.8344704476,1.99708927286,0.0669324583536,-19.8873811747,-21.8844704476
-6,-3.4,0.5,0.99,29.707686322,31.6966885393,1.9890022173,0.0669524444192,-19.807686322,-21.7966885393
-6,-3.35,0.5,0.99,29.5775373566,31.5584309517,1.9808935951,0.0669729048506,-19.7275373566,-21.7084309517
