g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
-6,-6,-2,0.9,49.3303027798,104.653199266,55.3228964858,1.12147895651,-34.3303027798,-89.6531992657
-6,-5.95,-2,0.9,49.1974218294,104.366856579,55.1694347496,1.12138873742,-34.2474218294,-89.416856579
-6,-5.9,-2,0.9,49.0642422059,104.079923072,55.0156808664,1.12129890105,-34.1642422059,-89.1799230723
-6,-5.85,-2,0.9,48.930760657,103.792392746,54.8616320889,1.12120946726,-34.080760657,-88.9423927459
-6,-5.8,-2,0.9,48.7969738709,103.504259497,54.7072856264,1.12112045659,-33.9969738709,-88.7042594974
-6,-5.75,-2,0.9,48.6628784748,103.215517119,54.5526386443,1.12103189031,-33.9128784748,-88.4655171191
-6,-5.7,-2,0.9,48.5284710331,102.926159296,54.3976882625,1.12094379041,-33.8284710331,-88.2261592956
-6,-5.65,-2,0.9,48.3937480463,102.636179601,54.2424315547,1.12085617966,-33.7437480463,-87.986179601
-6,-5.6,-2,0.9,48.2587059488,102.345571496,54.0868655473,1.12076908164,-33.6587059488,-87.7455714961
-6,-5.55,-2,0.9,48.1233411074,102.054328326,53.9309872184,1.12068252073,-33.5733411074,-87.5043283258
-6,-5.5,-2,0.9,47.9876498195,101.762443316,53.7747934969,1.12059652221,-33.4876498195,-87.2624433163
-6,-5.45,-2,0.9,47.8516283109,101.469909572,53.6182812607,1.12051111223,-33.4016283109,-87.0199095716
-6,-5.4,-2,0.9,47.7152727345,101.176720071,53.4614473362,1.12042631787,-33.3152727345,-86.7767200708
-6,-5.35,-2,0.9,47.5785791677,100.882867665,53.3042884971,1.1203421672,-33.2285791677,-86.5328676648
-6,-5.3,-2,0.9,47.4415436103,100.588345073,53.1468014626,1.12025868928,-33.1415436103,-86.2883450729
-6,-5.25,-2,0.9,47.3041619831,100.29314488,52.9889828965,1.12017591424,-33.0541619831,-86.0431448796
-6,-5.2,-2,0.9,47.1664301247,99.9972595309,52.8308294062,1.12009387326,-32.9664301247,-85.7972595309
-6,-5.15,-2,0.9,47.0283437897,99.7006813305,52.6723375408,1.12001259871,-32.8783437897,-85.5506813305
-6,-5.1,-2,0.9,46.8898986466,99.4034024364,52.5135037898,1.11993212409,-32.7898986466,-85.3034024364
-6,-5.05,-2,0.9,46.7510902744,99.1054148566,52.3543245822,1.11985248419,-32.7010902744,-85.0554148566
-6,-5,-2,0.9,46.611914161,98.8067104454,52.1947962844,1.11977371502,-32.611914161,-84.8067104454
-6,-4.95,-2,0.9,46.4723656998,98.5072808988,52.034915199,1.11969585398,-32.5223656998,-84.5572808988
-6,-4.9,-2,0.9,46.3324401875,98.2071177506,51.8746775631,1.11961893984,-32.4324401875,-84.3071177506
-6,-4.85,-2,0.9,46.1921328208,97.9062123677,51.7140795469,1.11954301282,-32.3421328208,-84.0562123677
-6,-4.8,-2,0.9,46.0514386934,97.6045559453,51.5531172519,1.11946811467,-32.2514386934,-83.8045559453
-6,-4.75,-2,0.9,45.9103527933,97.3021395023,51.391786709,1.1193942887,-32.1603527933,-83.5521395023
-6,-4.7,-2,0.9,45.768869999,96.9989538762,51.2300838772,1.11932157989,-32.068869999,-83.2989538762
-6,-4.65,-2,0.9,45.6269850768,96.6949897181,51.0680046412,1.11925003494,-31.9769850768,-83.0449897181
-6,-4.6,-2,0.9,45.4846926767,96.3902374869,50.9055448102,1.11917970232,-31.8846926767,-82.7902374869
-6,-4.55,-2,0.9,45.341987329,96.0846874442,50.7427001152,1.11911063243,-31.791987329,-82.5346874442
-6,-4.5,-2,0.9,45.1988634405,95.7783296482,50.5794662076,1.11904287757,-31.6988634405,-82.2783296482
-6,-4.45,-2,0.9,45.0553152909,95.4711539478,50.4158386569,1.11897649215,-31.6053152909,-82.0211539478
-6,-4.4,-2,0.9,44.9113370281,95.1631499764,50.2518129484,1.11891153267,-31.5113370281,-81.7631499764
-6,-4.35,-2,0.9,44.7669226642,94.8543071455,50.0873844813,1.11884805791,-31.4169226642,-81.5043071455
-6,-4.3,-2,0.9,44.6220660711,94.5446146375,49.9225485664,1.11878612897,-31.3220660711,-81.2446146375
-6,-4.25,-2,0.9,44.4767609761,94.2340613994,49.7573004233,1.11872580942,-31.2267609761,-80.9840613994
