g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
-6,-6,0,0.75,39.5830052443,850.089327014,810.50632177,20.4761188992,-26.5830052443,-837.089327014
-6,-5.95,0,0.75,39.4639835467,848.0947675,808.630783953,20.4903486998,-26.5139835467,-835.1447675
-6,-5.9,0,0.75,39.3447131199,846.097361716,806.752648596,20.5047281991,-26.4447131199,-833.197361716
-6,-5.85,0,0.75,39.2251912553,844.097086927,804.871895671,20.5192599428,-26.3751912553,-831.247086927
-6,-5.8,0,0.75,39.1054151948,842.093920089,802.988504894,20.5339465364,-26.3054151948,-829.293920089
-6,-5.75,0,0.75,38.9853821297,840.087837848,801.102455719,20.5487906481,-26.2353821297,-827.337837848
-6,-5.7,0,0.75,38.865089199,838.078816532,799.213727333,20.56379501,-26.165089199,-825.378816532
-6,-5.65,0,0.75,38.7445334882,836.066832142,797.322298654,20.5789624205,-26.0945334882,-823.416832142
-6,-5.6,0,0.75,38.623712028,834.051860352,795.428148324,20.5942957463,-26.023712028,-821.451860352
-6,-5.55,0,0.75,38.5026217927,832.033876495,793.531254702,20.6097979242,-25.9526217927,-819.483876495
-6,-5.5,0,0.75,38.381259699,830.012855563,791.631595864,20.625471964,-25.881259699,-817.512855563
-6,-5.45,0,0.75,38.2596226037,827.988772197,789.729149593,20.6413209501,-25.8096226037,-815.538772197
-6,-5.4,0,0.75,38.1377073029,825.96160068,787.823893377,20.6573480445,-25.7377073029,-813.56160068
-6,-5.35,0,0.75,38.0155105301,823.931314931,785.915804401,20.673556489,-25.6655105301,-811.581314931
-6,-5.3,0,0.75,37.893028954,821.897888496,784.004859542,20.6899496077,-25.593028954,-809.597888496
-6,-5.25,0,0.75,37.7702591775,819.861294543,782.091035366,20.7065308102,-25.5202591775,-807.611294543
-6,-5.2,0,0.75,37.6471977349,817.821505853,780.174308118,20.7233035938,-25.4471977349,-805.621505853
-6,-5.15,0,0.75,37.523841091,815.77849481,778.254653719,20.7402715471,-25.373841091,-803.62849481
-6,-5.1,0,0.75,37.4001856384,813.732233397,776.332047759,20.7574383524,-25.3001856384,-801.632233397
-6,-5.05,0,0.75,37.2762276954,811.682693184,774.406465489,20.7748077895,-25.2262276954,-799.632693184
-6,-5,0,0.75,37.1519635045,809.629845323,772.477881819,20.7923837383,-25.1519635045,-797.629845323
-6,-4.95,0,0.75,37.0273892294,807.573660535,770.546271306,20.8101701833,-25.0773892294,-795.623660535
-6,-4.9,0,0.75,36.9025009532,805.514109104,768.611608151,20.828171216,-25.0025009532,-793.614109104
-6,-4.85,0,0.75,36.7772946757,803.451160868,766.673866192,20.8463910397,-24.9272946757,-791.601160868
-6,-4.8,0,0.75,36.6517663113,801.384785207,764.733018895,20.8648339728,-24.8517663113,-789.584785207
-6,-4.75,0,0.75,36.5259116859,799.314951034,762.789039348,20.8835044532,-24.7759116859,-787.564951034
-6,-4.7,0,0.75,36.3997265345,797.241626788,760.841900253,20.9024070423,-24.6997265345,-785.541626788
-6,-4.65,0,0.75,36.2732064986,795.164780419,758.89157392,20.9215464299,-24.6232064986,-783.514780419
-6,-4.6,0,0.75,36.1463471226,793.08437938,756.938032258,20.9409274384,-24.5463471226,-781.48437938
-6,-4.55,0,0.75,36.0191438517,791.000390617,754.981246766,20.960555028,-24.4691438517,-779.450390617
-6,-4.5,0,0.75,35.8915920279,788.912780555,753.021188527,20.9804343017,-24.3915920279,-777.412780555
-6,-4.45,0,0.75,35.7636868874,786.821515087,751.057828199,21.0005705106,-24.3136868874,-775.371515087
-6,-4.4,0,0.75,35.6354235567,784.726559564,749.091136007,21.0209690595,-24.2354235567,-773.326559564
-6,-4.35,0,0.75,35.5067970493,782.627878783,747.121081733,21.0416355127,-24.1567970493,-771.277878783
-6,-4.3,0,0.75,35.3778022617,780.52543697,745.147634708,21.0625756003,-24.0778022617,-769.22543697
-6,-4.25,0,0.75,35.2484339701,778.419197772,743.170763802,21.0837952243,-23.9984339701,-767.169197772
-6,-4.2,0,0.75,35.1186868257,776.309124242,741.190437416,21.1053004656,-23.9186868257,-765.109124242
-6,-4.15,0,0.75,34.9885553511,774.195178822,739.206623471,21.127097591,-23.8385553511,-763.045178822
-6,-4.1,0,0.75,34.8580339354,772.077323336,737.2192894,21.1491930602,-23.7580339354,-760.977323336
-6,-4.05,0,0.75,34.7271168299,769.955518967,735.228402137,21.1715935342,-23.6771168299,-758.905518967
-6,-4,0,0.75,34.5957981433,767.829726248,733.233928105,21.1943058827,-23.5957981433,-756.829726248
-6,-3.95,0,0.75,34.4640718366,765.699905044,731.235833208,21.2173371932,-23.5140718366,-754.749905044
-6,-3.9,0,0.75,34.3319317178,763.566014538,729.23408282,21.2406947798,-23.4319317178,-752.666014538
-6,-3.85,0,0.75,34.1993714368,761.428013209,727.228641772,21.2643861925,-23.3493714368,-750.578013209
-6,-3.8,0,0.75,34.0663844791,759.285858823,725.219474344,21.2884192271,-23.2663844791,-748.485858823
-6,-3.75,0,0.75,33.9329641603,757.139508409,723.206544248,21.3128019359,-23.1829641603,-746.389508409
-6,-3.7,0,0.75,33.7991036196,754.988918243,721.189814624,21.3375426384,-23.0991036196,-744.288918243
-6,-3.65,0,0.75,33.6647958132,752.834043832,719.169248018,21.3626499329,-23.0147958132,-742.184043832
-6,-3.6,0,0.75,33.5300335073,750.674839888,717.144806381,21.3881327087,-22.9300335073,-740.074839888
-6,-3.55,0,0.75,33.3948092713,748.511260317,715.116451045,21.414000159,-22.8448092713,-737.961260317
-6,-3.5,0,0.75,33.2591154696,746.343258189,713.084142719,21.4402617944,-22.7591154696,-735.843258189
-6,-3.45,0,0.75,33.122944254,744.170785724,711.04784147,21.4669274572,-22.672944254,-733.720785724
-6,-3.4,0,0.75,32.9862875552,741.993794266,709.007506711,21.4940073364,-22.5862875552,-731.593794266
-6,-3.35,0,0.75,32.8491370741,739.812234264,706.96309719,21.5215119835,-22.4991370741,-729.462234264
-6,-3.3,0,0.75,32.7114842723,737.626055242,704.91457097,21.54945233,-22.4114842723,-727.326055242
-6,-3.25,0,0.75,32.5733203624,735.435205783,702.86188542,21.5778397044,-22.3233203624,-725.185205783
-6,-3.2,0,0.75,32.4346362979,733.239633496,700.804997198,21.6066858515,-22.2346362979,-723.039633496
-6,-3.15,0,0.75,32.2954227622,731.039284995,698.743862233,21.6360029524,-22.1454227622,-720.889284995
-6,-3.1,0,0.75,32.1556701572,728.834105872,696.678435715,21.6658036455,-22.0556701572,-718.734105872
-6,-3.05,0,0.75,32.0153685912,726.624040666,694.608672075,21.696101049,-21.9653685912,-716.574040666
-6,-3,0,0.75,31.8745078664,724.409032836,692.53452497,21.7269087847,-21.8745078664,-714.409032836
-6,-2.95,0,0.75,31.7330774651,722.189024733,690.455947268,21.7582410035,-21.7830774651,-712.239024733
