g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
-6,-6,0.5,0.75,35.9833147735,814.838098657,778.854783883,21.6448870479,-23.4833147735,-802.338098657
-6,-5.95,0.5,0.75,35.8698381572,812.89502214,777.025183982,21.6623554468,-23.4198381572,-800.44502214
-6,-5.9,0.5,0.75,35.7561327941,810.949230707,775.193097913,21.6800038857,-23.3561327941,-798.549230707
-6,-5.85,0.5,0.75,35.6421961932,809.000702655,773.358506462,21.6978354047,-23.2921961932,-796.650702655
-6,-5.8,0.5,0.75,35.5280258182,807.049415989,771.521390171,21.715853116,-23.2280258182,-794.749415989
-6,-5.75,0.5,0.75,35.4136190858,805.095348416,769.68172933,21.7340602062,-23.1636190858,-792.845348416
-6,-5.7,0.5,0.75,35.2989733649,803.138477336,767.839503971,21.7524599379,-23.0989733649,-790.938477336
-6,-5.65,0.5,0.75,35.1840859753,801.178779842,765.994693867,21.771055653,-23.0340859753,-789.028779842
-6,-5.6,0.5,0.75,35.0689541861,799.216232712,764.147278526,21.7898507743,-22.9689541861,-787.116232712
-6,-5.55,0.5,0.75,34.9535752147,797.250812398,762.297237184,21.8088488088,-22.9035752147,-785.200812398
-6,-5.5,0.5,0.75,34.8379462255,795.282495029,760.444548803,21.8280533497,-22.8379462255,-783.282495029
-6,-5.45,0.5,0.75,34.7220643279,793.311256394,758.589192066,21.8474680798,-22.7720643279,-781.361256394
-6,-5.4,0.5,0.75,34.6059265753,791.337071944,756.731145369,21.8670967738,-22.7059265753,-779.437071944
-6,-5.35,0.5,0.75,34.4895299636,789.359916781,754.870386817,21.8869433017,-22.6395299636,-777.509916781
-6,-5.3,0.5,0.75,34.3728714293,787.379765651,753.006894222,21.9070116318,-22.5728714293,-775.579765651
-6,-5.25,0.5,0.75,34.255947848,785.396592938,751.14064509,21.9273058338,-22.505947848,-773.646592938
-6,-5.2,0.5,0.75,34.1387560327,783.410372657,749.271616625,21.9478300822,-22.4387560327,-771.710372657
-6,-5.15,0.5,0.75,34.021292732,781.421078445,747.399785713,21.9685886601,-22.371292732,-769.771078445
-6,-5.1,0.5,0.75,33.9035546283,779.428683554,745.525128925,21.9895859623,-22.3035546283,-767.828683554
-6,-5.05,0.5,0.75,33.7855383358,777.433160842,743.647622506,22.0108264996,-22.2355383358,-765.883160842
-6,-5,0.5,0.75,33.6672403987,775.434482767,741.767242368,22.0323149027,-22.1672403987,-763.934482767
-6,-4.95,0.5,0.75,33.5486572891,773.432621378,739.883964089,22.0540559258,-22.0986572891,-761.982621378
-6,-4.9,0.5,0.75,33.4297854047,771.427548304,737.997762899,22.0760544516,-22.0297854047,-760.027548304
-6,-4.85,0.5,0.75,33.3106210667,769.419234748,736.108613681,22.0983154954,-21.9606210667,-758.069234748
-6,-4.8,0.5,0.75,33.1911605176,767.407651476,734.216490959,22.12084421,-21.8911605176,-756.107651476
-6,-4.75,0.5,0.75,33.0713999188,765.39276881,732.321368891,22.1436458901,-21.8213999188,-754.14276881
-6,-4.7,0.5,0.75,32.9513353479,763.374556615,730.423221267,22.1667259781,-21.7513353479,-752.174556615
-6,-4.65,0.5,0.75,32.8309627964,761.352984293,728.522021496,22.1900900688,-21.6809627964,-750.202984293
-6,-4.6,0.5,0.75,32.7102781669,759.328020767,726.6177426,22.2137439154,-21.6102781669,-748.228020767
-6,-4.55,0.5,0.75,32.5892772704,757.299634479,724.710357209,22.2376934351,-21.5392772704,-746.249634479
-6,-4.5,0.5,0.75,32.4679558231,755.267793372,722.799837549,22.2619447152,-21.4679558231,-744.267793372
-6,-4.45,0.5,0.75,32.346309444,753.232464881,720.886155437,22.2865040194,-21.396309444,-742.282464881
-6,-4.4,0.5,0.75,32.224333651,751.193615923,718.969282272,22.3113777948,-21.324333651,-740.293615923
-6,-4.35,0.5,0.75,32.1020238582,749.151212885,717.049189027,22.3365726782,-21.2520238582,-738.301212885
-6,-4.3,0.5,0.75,31.9793753723,747.10522161,715.125846238,22.3620955041,-21.1793753723,-736.30522161
-6,-4.25,0.5,0.75,31.856383389,745.055607387,713.199223998,22.3879533119,-21.106383389,-734.305607387
-6,-4.2,0.5,0.75,31.7330429893,743.002334935,711.269291946,22.4141533538,-21.0330429893,-732.302334935
-6,-4.15,0.5,0.75,31.6093491358,740.945368396,709.33601926,22.4407031038,-20.9593491358,-730.295368396
-6,-4.1,0.5,0.75,31.4852966683,738.884671314,707.399374645,22.4676102657,-20.8852966683,-728.284671314
-6,-4.05,0.5,0.75,31.3608803001,736.820206624,705.459326324,22.494882783,-20.8108803001,-726.270206624
-6,-4,0.5,0.75,31.2360946131,734.751936641,703.515842028,22.5225288482,-20.7360946131,-724.251936641
-6,-3.95,0.5,0.75,31.1109340535,732.67982304,701.568888987,22.5505569129,-20.6609340535,-722.22982304
-6,-3.9,0.5,0.75,30.9853929268,730.603826843,699.618433916,22.578975699,-20.5853929268,-720.203826843
-6,-3.85,0.5,0.75,30.8594653928,728.523908403,697.66444301,22.6077942093,-20.5094653928,-718.173908403
