triple,beta12,beta13,beta23,alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,band_width_in_L3,realizability_2sqrtG_if_G>0,evidence
"no_pair_loops_(1,1,1)",1,1,1,0.666666768152444,1,-8,-1.60330755465335e+20,1.60330755465335e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666774205498,1,-8,-1.34752384553456e+20,1.34752384553456e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666780619582,1,-8,-1.1325465900004e+20,1.1325465900004e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666678741623,1,-8,-9.51865743693939e+19,9.51865743693939e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666679461826,1,-8,-8.00009817385935e+19,8.00009817385935e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666802249851,1,-8,-6.7238023133069e+19,6.7238023133069e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666810336623,1,-8,-5.65112036529627e+19,5.65112036529627e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666818905725,1,-8,-4.749568759425e+19,4.749568759425e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666827985925,1,-8,-3.99184620842275e+19,3.99184620842275e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666837607709,1,-8,-3.3550069537123e+19,3.3550069537123e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666847803377,1,-8,-2.81976585680262e+19,2.81976585680262e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666685860716,1,-8,-2.36991446055668e+19,2.36991446055668e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666870055327,1,-8,-1.99183012548524e+19,1.99183012548524e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666882186313,1,-8,-1.67406348120667e+19,1.67406348120667e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666895040844,1,-8,-1.40699174235879e+19,1.40699174235879e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666908662074,1,-8,-1.1825273012972e+19,1.1825273012972e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666923095735,1,-8,-9.9387279881332e+18,9.9387279881332e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666938390282,1,-8,-8.3531529627499e+18,8.3531529627499e+18,0,FLOAT
